epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9729,0.65756,1.35464,0.73786,1.07475,0.74712,0.16545,0.17164,0.13766,0.74712,0.16545,0.16923,0.13702,0.92648,2.47104,1.04612,1.09551,0.0005,0.0005,0.0005
2,27.5551,0.70649,1.49502,0.74069,1.09489,0.68012,0.16182,0.16384,0.12738,0.7026,0.16364,0.16312,0.1278,1.05636,2.69639,1.30224,1.23351,0.00101192,0.00101192,0.00101192
3,41.1213,0.78639,1.52997,0.81918,1.14086,0.79035,0.16,0.16835,0.12296,0.78793,0.16,0.16344,0.12194,1.11403,2.91241,1.21252,1.37828,0.00151561,0.00151561,0.00151561
4,54.2693,0.86935,1.65351,0.91412,1.18105,0.65984,0.16576,0.16144,0.12747,0.682,0.16182,0.15625,0.11943,1.03031,3.09166,1.49716,1.29752,0.00195248,0.00195248,0.00195248
5,68.0995,0.84113,1.59888,0.92056,1.15853,0.6586,0.16727,0.17152,0.13437,0.65233,0.16545,0.16328,0.12026,1.01517,3.55432,1.24599,1.32497,0.00193664,0.00193664,0.00193664
6,80.9267,0.84512,1.61277,0.89277,1.18272,0.59664,0.16364,0.15878,0.12055,0.61452,0.15273,0.15402,0.11413,1.15902,2.81359,1.33167,1.42902,0.0019208,0.0019208,0.0019208
7,93.9753,0.88509,1.6982,0.94526,1.20726,0.71552,0.15818,0.15621,0.11347,0.7073,0.15636,0.15356,0.11242,1.2849,2.88716,1.50924,1.64458,0.00190496,0.00190496,0.00190496
8,107.035,0.8788,1.77744,0.93639,1.19038,0.60044,0.15455,0.15306,0.11442,0.6519,0.15273,0.15676,0.11991,1.17604,2.62587,1.32281,1.45917,0.00188912,0.00188912,0.00188912
9,120.068,0.87671,1.68201,0.94808,1.19416,0.63088,0.15091,0.15142,0.11238,0.66965,0.14727,0.14857,0.11261,1.17467,3.15691,1.46341,1.35951,0.00187328,0.00187328,0.00187328
10,133.189,0.86013,1.72695,0.93464,1.19449,0.61449,0.17091,0.16449,0.11492,0.56446,0.16364,0.15485,0.11186,1.29385,3.02877,1.54773,1.71566,0.00185744,0.00185744,0.00185744
11,146.252,0.90617,1.77987,0.96424,1.20915,0.69251,0.16182,0.16655,0.1238,0.69747,0.15818,0.15821,0.11835,1.11319,2.86495,1.59509,1.37695,0.0018416,0.0018416,0.0018416
12,159.338,0.86135,1.6622,0.91979,1.20716,0.71481,0.16,0.15883,0.11484,0.72293,0.16182,0.16137,0.11813,1.25536,2.75725,1.36966,1.48566,0.00182576,0.00182576,0.00182576
13,172.551,0.88371,1.83199,0.94954,1.20188,0.57674,0.17273,0.16559,0.12237,0.61851,0.16,0.16012,0.12046,1.13757,3.02281,1.32805,1.36367,0.00180992,0.00180992,0.00180992
14,185.624,0.81604,1.67387,0.92773,1.17284,0.70535,0.16,0.16212,0.12363,0.68932,0.15636,0.15606,0.1205,1.13006,2.94919,1.59631,1.34511,0.00179408,0.00179408,0.00179408
15,198.851,0.83538,1.79873,0.90438,1.17745,0.70011,0.16554,0.16873,0.13152,0.68488,0.16202,0.16561,0.12829,1.09597,2.64192,1.44795,1.35117,0.00177824,0.00177824,0.00177824
16,212.278,0.88046,1.65585,0.93819,1.18147,0.7109,0.17091,0.17183,0.12519,0.63821,0.16364,0.16041,0.11945,1.0888,2.72785,1.19576,1.37994,0.0017624,0.0017624,0.0017624
17,225.419,0.83052,1.67531,0.91232,1.17682,0.8369,0.15273,0.16768,0.12611,0.65881,0.16182,0.16385,0.12885,1.07153,2.46262,1.17104,1.29472,0.00174656,0.00174656,0.00174656
18,238.454,0.85151,1.70103,0.90603,1.19502,0.76082,0.15273,0.16318,0.11693,0.67995,0.15455,0.1558,0.11922,1.14938,2.59769,1.2504,1.36779,0.00173072,0.00173072,0.00173072
19,251.478,0.80612,1.618,0.89645,1.17228,0.6476,0.1704,0.16588,0.12243,0.62687,0.16495,0.15741,0.11734,1.11929,2.83006,1.29572,1.40377,0.00171488,0.00171488,0.00171488
20,264.737,0.83679,1.63008,0.8905,1.19639,0.85346,0.16182,0.16964,0.1192,0.83428,0.15818,0.16556,0.11577,1.17787,2.96128,1.29292,1.3831,0.00169904,0.00169904,0.00169904
21,277.679,0.8298,1.58011,0.87333,1.17245,0.66515,0.17455,0.17277,0.13066,0.66114,0.17091,0.16999,0.1241,1.01787,2.74447,1.20297,1.23747,0.0016832,0.0016832,0.0016832
22,290.735,0.84454,1.74326,0.89456,1.18186,0.76453,0.16182,0.1669,0.13261,0.74734,0.15818,0.16109,0.12917,1.00394,2.50612,1.28986,1.23599,0.00166736,0.00166736,0.00166736
23,303.783,0.80698,1.60396,0.87893,1.15032,0.73166,0.15273,0.15472,0.11934,0.75424,0.15066,0.15183,0.11497,1.06871,2.96279,1.37407,1.29803,0.00165152,0.00165152,0.00165152
24,316.768,0.77143,1.51977,0.83557,1.15751,0.74069,0.15818,0.16597,0.13022,0.71087,0.16,0.1657,0.12454,1.00785,2.47641,1.26764,1.23993,0.00163568,0.00163568,0.00163568
25,329.947,0.82673,1.6422,0.87803,1.16572,0.81612,0.16,0.16891,0.13057,0.65605,0.15818,0.16199,0.12914,1.05857,2.47654,1.21341,1.28465,0.00161984,0.00161984,0.00161984
26,343.265,0.8018,1.56953,0.84178,1.14371,0.665,0.15818,0.15802,0.12101,0.62605,0.14909,0.14821,0.11507,1.15705,2.81436,1.34404,1.33933,0.001604,0.001604,0.001604
27,356.55,0.80762,1.57603,0.87261,1.14586,0.7726,0.16182,0.1626,0.13511,0.76392,0.16,0.15933,0.1276,0.95901,2.46398,1.28085,1.14664,0.00158816,0.00158816,0.00158816
28,369.536,0.81562,1.66526,0.84562,1.1475,0.70306,0.16182,0.17076,0.13669,0.70531,0.16182,0.16875,0.13044,1.05583,2.57847,1.23534,1.29055,0.00157232,0.00157232,0.00157232
29,382.489,0.81642,1.57514,0.87607,1.17754,0.63138,0.17091,0.16795,0.12706,0.62601,0.16545,0.1627,0.12501,1.0902,2.41488,1.20577,1.33519,0.00155648,0.00155648,0.00155648
30,395.733,0.79356,1.58618,0.84746,1.16264,0.66314,0.16545,0.16503,0.12066,0.66306,0.16364,0.1616,0.11403,1.17962,2.97349,1.2248,1.33041,0.00154064,0.00154064,0.00154064
31,408.743,0.75583,1.52508,0.79971,1.12914,0.63032,0.16727,0.1703,0.13124,0.72166,0.16,0.16559,0.12935,1.01221,2.64497,1.16305,1.21234,0.0015248,0.0015248,0.0015248
32,421.934,0.80012,1.48731,0.85719,1.16639,0.71014,0.15636,0.16289,0.1261,0.67049,0.15636,0.15835,0.12036,1.02468,2.64671,1.29109,1.23576,0.00150896,0.00150896,0.00150896
33,434.954,0.72986,1.43327,0.78934,1.10928,0.69977,0.16364,0.16394,0.12978,0.68725,0.16364,0.1648,0.13035,1.08622,2.65632,1.23313,1.28343,0.00149312,0.00149312,0.00149312
34,447.88,0.77332,1.46919,0.7901,1.1227,0.70039,0.16364,0.16096,0.12585,0.71856,0.16727,0.16856,0.12522,1.05124,2.6331,1.22782,1.31797,0.00147728,0.00147728,0.00147728
35,461.052,0.77998,1.52153,0.84344,1.12565,0.69364,0.16364,0.16788,0.12898,0.63576,0.15636,0.15652,0.11536,0.98887,3.13921,1.23414,1.29726,0.00146144,0.00146144,0.00146144
36,473.991,0.79634,1.61326,0.83994,1.14993,0.71053,0.16,0.16769,0.13728,0.69325,0.15636,0.16391,0.13383,0.92558,2.63474,1.12181,1.14602,0.0014456,0.0014456,0.0014456
37,487.454,0.76948,1.59079,0.8369,1.13505,0.67759,0.16364,0.16084,0.12508,0.62144,0.16364,0.15932,0.12676,1.04449,2.33611,1.19102,1.24165,0.00142976,0.00142976,0.00142976
38,500.489,0.75469,1.56561,0.79833,1.13109,0.79146,0.16364,0.16703,0.12602,0.79146,0.16364,0.16661,0.12257,1.09803,2.69175,1.24581,1.38579,0.00141392,0.00141392,0.00141392
39,513.458,0.77218,1.61378,0.84197,1.14502,0.65265,0.16727,0.16748,0.13479,0.69648,0.16364,0.16548,0.13179,0.98427,2.52392,1.15961,1.23005,0.00139808,0.00139808,0.00139808
40,526.503,0.75063,1.45468,0.77499,1.11957,0.6845,0.16568,0.16691,0.12077,0.67699,0.16386,0.16303,0.12506,1.20543,2.52075,1.25446,1.43982,0.00138224,0.00138224,0.00138224
41,539.36,0.80426,1.51751,0.80487,1.15667,0.80674,0.16698,0.17637,0.14431,0.77994,0.16182,0.1716,0.13849,0.9231,2.30433,1.01064,1.1662,0.0013664,0.0013664,0.0013664
42,552.706,0.7435,1.48052,0.79201,1.11969,0.78892,0.16,0.17054,0.13605,0.80467,0.15818,0.16458,0.12872,0.94246,2.57043,1.1613,1.25423,0.00135056,0.00135056,0.00135056
43,565.537,0.742,1.41777,0.78372,1.1093,0.68882,0.16364,0.17042,0.13463,0.77689,0.16,0.16653,0.13384,0.93997,2.43414,1.08403,1.21498,0.00133472,0.00133472,0.00133472
44,578.687,0.71879,1.39432,0.76644,1.10136,0.65247,0.16545,0.16562,0.11718,0.74744,0.14909,0.15468,0.11455,1.25698,2.72856,1.47842,1.4989,0.00131888,0.00131888,0.00131888
45,591.773,0.77072,1.46348,0.78497,1.12848,0.71436,0.16182,0.16593,0.11873,0.73612,0.16,0.1592,0.11866,1.15157,2.87132,1.30428,1.33477,0.00130304,0.00130304,0.00130304
46,604.697,0.76175,1.49193,0.81217,1.13971,0.71773,0.17273,0.1713,0.13234,0.71017,0.17091,0.17164,0.12486,0.99354,2.68209,1.05641,1.23576,0.0012872,0.0012872,0.0012872
47,617.805,0.75752,1.51233,0.77357,1.1401,0.73678,0.16364,0.16568,0.12763,0.74663,0.16182,0.16071,0.12366,1.04606,2.65975,1.196,1.24691,0.00127136,0.00127136,0.00127136
48,631.072,0.69902,1.33632,0.73705,1.07538,0.77456,0.17091,0.17832,0.14121,0.7349,0.17455,0.17603,0.14063,0.92469,2.3834,1.03519,1.17076,0.00125552,0.00125552,0.00125552
49,644.143,0.75884,1.55143,0.78322,1.12065,0.66732,0.16727,0.16842,0.12566,0.62247,0.16364,0.1605,0.12326,0.96528,2.52478,1.14696,1.20913,0.00123968,0.00123968,0.00123968
50,657.278,0.75296,1.5378,0.78123,1.11865,0.73175,0.17091,0.1738,0.141,0.71618,0.16727,0.17123,0.14066,0.90485,2.29563,1.02908,1.13807,0.00122384,0.00122384,0.00122384
51,670.21,0.73115,1.39787,0.78586,1.11081,0.74353,0.17091,0.17577,0.13922,0.72814,0.16182,0.16687,0.13564,0.95593,2.36494,1.02611,1.25267,0.001208,0.001208,0.001208
52,683.402,0.75012,1.44449,0.74869,1.10784,0.75595,0.17273,0.17615,0.13561,0.74003,0.16909,0.17132,0.13253,0.98693,2.72655,1.13378,1.27254,0.00119216,0.00119216,0.00119216
53,696.318,0.69547,1.39712,0.72482,1.0933,0.78221,0.16727,0.1754,0.13635,0.74409,0.16,0.16999,0.13583,0.97082,2.50943,0.99029,1.24857,0.00117632,0.00117632,0.00117632
54,709.283,0.7237,1.48915,0.75602,1.10363,0.81343,0.16,0.16572,0.13399,0.80419,0.15818,0.16386,0.13732,0.97437,2.65115,1.07013,1.18106,0.00116048,0.00116048,0.00116048
