epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.286,0.65828,1.34135,0.68652,1.08811,0.6161,0.13013,0.13592,0.1116,0.81914,0.12306,0.13481,0.10576,0.93743,2.36285,0.96707,1.07831,0.000392157,0.000392157,0.000392157
2,26.2018,0.71459,1.39822,0.77141,1.11564,0.77963,0.12164,0.13099,0.10858,0.7618,0.12306,0.13076,0.10348,1.00542,2.37418,1.1358,1.15564,0.000792033,0.000792033,0.000792033
3,39.2166,0.75751,1.50564,0.84713,1.14455,0.70429,0.12306,0.12728,0.10083,0.72436,0.1273,0.1297,0.09964,1.08637,2.38113,1.10787,1.20831,0.00119141,0.00119141,0.00119141
4,52.2371,0.80873,1.49238,0.88885,1.1681,0.8142,0.11881,0.12536,0.08951,0.80053,0.11881,0.12413,0.08618,1.08717,2.61015,1.20922,1.27995,0.00158992,0.00158992,0.00158992
5,64.6967,0.81017,1.6078,0.90241,1.18698,0.69995,0.11881,0.11996,0.08496,0.69162,0.1174,0.11923,0.08292,1.29548,2.53841,1.44731,1.51277,0.00198718,0.00198718,0.00198718
6,77.0217,0.83362,1.65809,0.9342,1.18743,0.66005,0.12023,0.12147,0.09175,0.64484,0.11598,0.11411,0.08247,1.16632,2.88721,1.3214,1.34878,0.00199219,0.00199219,0.00199219
7,89.4517,0.87496,1.78851,0.93557,1.22391,0.78443,0.11457,0.12363,0.09506,0.78443,0.11457,0.12374,0.09238,1.08405,2.4961,1.22294,1.26442,0.00198877,0.00198877,0.00198877
8,101.885,0.89866,1.7591,0.97846,1.24997,0.61914,0.12023,0.12004,0.08637,0.61186,0.11881,0.11928,0.08302,1.31286,2.56599,1.32535,1.4643,0.00198472,0.00198472,0.00198472
9,114.351,0.88925,1.71792,0.97868,1.22105,0.72192,0.12447,0.12405,0.10067,0.74035,0.1174,0.11906,0.08885,1.09901,3.10054,1.24439,1.24427,0.00198006,0.00198006,0.00198006
10,126.7,0.91216,1.75887,0.97098,1.21345,0.70609,0.12164,0.12563,0.10115,0.75657,0.12164,0.12466,0.0917,1.02266,2.57727,1.28484,1.23582,0.00197478,0.00197478,0.00197478
11,139.074,0.91094,1.67892,0.99294,1.23647,0.6931,0.12164,0.12669,0.0992,0.85402,0.11315,0.12094,0.0891,1.12411,2.74184,1.14139,1.27523,0.0019689,0.0019689,0.0019689
12,151.428,0.87656,1.66816,0.94609,1.21973,0.73982,0.11598,0.12949,0.10132,0.78312,0.11174,0.124,0.0849,1.12493,2.78384,1.225,1.26598,0.00196241,0.00196241,0.00196241
13,163.76,0.90342,1.83068,0.98736,1.23375,0.81454,0.12306,0.12957,0.1035,0.81454,0.12306,0.12914,0.09666,1.03956,2.35198,1.11729,1.2148,0.00195532,0.00195532,0.00195532
