epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7988,0.49855,0.90775,0.48386,0.95756,0.81745,0.15818,0.1768,0.14809,0.78916,0.15273,0.17135,0.1476,0.90991,2.80713,1.11119,1.22713,0.0005,0.0005,0.0005
2,28.4588,0.45649,0.78195,0.40714,0.92517,0.78434,0.15091,0.16073,0.14045,0.79379,0.15273,0.1606,0.14018,0.87781,2.70657,1.13799,1.18934,0.00101192,0.00101192,0.00101192
3,42.0613,0.47801,0.7887,0.42241,0.94628,0.77609,0.16909,0.18118,0.14972,0.74271,0.16182,0.17191,0.14431,0.82838,3.01571,0.97651,1.18918,0.00151561,0.00151561,0.00151561
4,56.5593,0.51137,0.85245,0.47115,0.95288,0.70833,0.16364,0.17288,0.14077,0.71804,0.15636,0.16489,0.13671,0.88559,3.06767,1.16004,1.20056,0.00195248,0.00195248,0.00195248
5,69.3688,0.50569,0.82556,0.46233,0.95226,0.82504,0.16182,0.17892,0.14878,0.81549,0.16,0.17434,0.14334,0.91137,2.76942,0.97298,1.171,0.00193664,0.00193664,0.00193664
6,82.8369,0.48584,0.82058,0.43517,0.94529,0.71658,0.16,0.16671,0.13788,0.70029,0.15636,0.15724,0.13245,0.90823,3.26262,1.03764,1.22296,0.0019208,0.0019208,0.0019208
7,95.7631,0.51843,0.86565,0.48346,0.95958,0.75945,0.15818,0.16749,0.13741,0.82267,0.15091,0.16279,0.13297,0.87336,2.84033,1.1204,1.17244,0.00190496,0.00190496,0.00190496
8,108.826,0.5353,0.91163,0.47904,0.95454,0.84324,0.15273,0.16416,0.13173,0.82317,0.14909,0.15536,0.12839,0.94695,3.2472,1.18387,1.22776,0.00188912,0.00188912,0.00188912
9,122.151,0.5179,0.8434,0.46409,0.95303,0.81008,0.15818,0.17093,0.13542,0.7991,0.15091,0.16586,0.13283,0.93651,2.99731,1.34157,1.29287,0.00187328,0.00187328,0.00187328
10,134.992,0.53506,0.9238,0.48819,0.96431,0.93711,0.15091,0.16433,0.13386,0.92582,0.14909,0.15736,0.12785,0.8817,3.15945,1.0878,1.23647,0.00185744,0.00185744,0.00185744
11,148.166,0.54345,0.915,0.4998,0.95437,0.751,0.16,0.15871,0.13366,0.72524,0.15455,0.15533,0.13308,0.87217,3.02539,1.28811,1.23655,0.0018416,0.0018416,0.0018416
12,161.493,0.50195,0.83626,0.47157,0.95686,0.7951,0.15818,0.16287,0.13564,0.76762,0.15273,0.1589,0.13303,0.89442,2.9619,1.15217,1.27715,0.00182576,0.00182576,0.00182576
